,Tittel,Abstrakt,Årstall
61,Assessing Seaborne Trade Patterns & Economic Implications: A Comprehensive Analysis of Seaborne Crude Oil Transport Following the Ukraine-Russia Conflict,"In this thesis, we investigate and analyse the changes in the crude oil tanker trade after the start of the Ukraine-Russia war by utilising aggregated Automatic Identification System (AIS) data. We investigate the changes ...",2024
63,Evaluating ChatGPT-4 and Bard in Categorizing Investor Risk Profiles,This study aims to examine the performance of OpenAI’s ChatGPT-4 and Google’s Bard in categorizing investors’ risk profiles. The objectives were to compare the chatbots’ assessments with those of financial advisors and to ...,2024
65,What is fair? Assessing fairness of hospital networks in Norway: A study of the Innlandet region,"There has been significant research related to fairness concerns in the healthcare space, from philosophical questions asking how societies should distribute resources, to papers addressing who healthcare decision-makers ...",2024
69,Understanding the impacts of index recompositions,"The index effect suggests there is an excess return associated with index recompositions. Several hypotheses have been developed to explain this phenomenon, but the existing literature in the Nordic context remain limited ...",2024
70,Lønner det seg å investere bærekraftig? En empirisk analyse av sammenhengen mellom Morningstar Sustainability Rating og risikojustert avkastning i det norske fondsmarkedet,Denne masterutredningen undersøker sammenhengen mellom Morningstar Sustainability Rating og fondsprestasjoner i det norske fondsmarkedet. Vi avdekker tidlig at fond som oppnår den høyeste bærekraftsrangeringen fra Morningstar ...,2024
71,Can Weather Forecasts Predict Norwegian Home Insurance Claims?,"Insurance companies are urgently seeking robust solutions to minimize the risks associated with
property damage in response to more frequent extreme weather and increased regulation. This need
is particularly significant ...",2024
76,Seafarer Attrition and Marine Insurance Claims,"This thesis aims to examine the factors that affect attrition among seafarers and subsequently, whether attrition has an impact on vessel related marine insurance claims made by a company. A logistic regression analysis ...",2024
87,Fostering Psychological Safety: The Strategic Role of the Board Chair,"Existing literature reviews indicate substantial research gaps on the board chair's role in managing dynamics within the boardroom. Considering that psychological safety is one of the key components in social dynamics, the ...",2024
90,"Comparative Analysis of Energy Transition Strategies: Emissions, Resources, Market Dynamics, and Energy Flows in Quebec and Norway","The importance of energy transition is one of the most important actions in the fight against climate change and environmental degradation, and this comparative analysis assesses how Quebec's and Norway's energy transition ...",2024
92,The Dynamics of Retail Co-location: Exploring Vinmonopolet's Influence on Meny Stores,"This thesis explores the strategic implications of co-locating Vinmonopolet stores with Meny supermarkets in Norwegian shopping centers. Using a Difference-in-Differences approach with fixed effects, the research investigates ...",2024
93,Sanctions as a new policy tool: A multiple case study on how sanctions affect trade,This thesis aims to assess the impact of trade sanctions on the export and import levels in targeted countries by using a multiple case study. The motivation for this research stems from the growing prominence of sanctions ...,2024
94,Analyzing the Impact of Electricity Prices on Airbnb - A Linear Regression Approach,"The digital age has transformed the economy, giving rise to the sharing economy and platforms like Airbnb, which have revolutionized the hospitality industry by allowing individuals to rent out their homes. As the cost of ...",2024
95,Using Emotional Communication For Environmental Fundraising: Understanding the impact of pride and shame on donor behavior,"Emotional appeals significantly influence donor behavior in environmental fundraising, yet research has predominantly focused on broader categories of positive or negative emotions. This study narrows the focus to two ...",2024
96,"Determinants of Attitude towards Retargeting - Analyzing the direct role of product sustainability and webstore experience, and moderate role of discount offering in the formation of consumer’s attitude towards retargeted ads","Considering the increase in the digitization of the marketplace, marketers are in need of new marketing strategies that could fit the digital market problems in specificity. One such marketing strategy, Retargeting is a ...",2024
98,Sustainable seafood adoption,This thesis paper is mainly focus on sustainable seafood adoption and investigate to know which factors influence consumers to adopt sustainable seafood.,2024
102,Collaboration for Sustainability: The Impact of Collaboration on Sustainability in the Norwegian Waste Industry,This study aims to investigate how collaboration can be used as a tool for targeting sustainability issues in the Norwegian waste industry. The industry has become increasingly aware of the opportunities that joint effort ...,2024
103,Co-opetition in Practice: Critical Success Factors in a Strategic Partnerships for AI-Driven Fraud Detection within the Insurance Industry,"This master thesis explores a case of project collaboration between direct competitors within the insurance industry for the creation of an AI-driven model for fraud detection and prevention, to identify the critical sucess ...",2024
106,Sustainability and Firm Performance,Oppgaven benytter avanserte statistiske metoder og modeller til å analysere hvilken påvirkning satsinger på bærekraftige initiativer (ESG) har på selskapers verdi og lønnsomhet.,2024
115,Savings Banks or Super Banks? An Empirical Study on the Impact of Equity Certificates’ Unique Features on Pricing,"Equity Certificates (“ECs”) have been pivotal in providing Norwegian savings banks with
access to capital and maintaining their competitive market position. ECs are distinctively
characterized by their complex equity ...",2024
118,Grunnrentebeskatning og investeringer i havbruksnæringen : En analyse av grunnrenteskattens virkning på investeringer,"This master thesis explores implications of the taxation of resource rent on investments in
Norwegian aquaculture. The study aims to investigate the impact on companies´ investment
decisions as a result of the introduction ...",2023
121,Consumers’ attitude towards AI with a focus on the role of government and media in Italy,"News and social media play an important role in public debates and this seems to be particularly
relevant when associated to technology, because it influences firstly the degree of adoption and
spread among the masses ...",2023
122,"Short-Term Stocks, Long-Term Gains : Leveraging Implied Equity Duration in Portfolio Management","This thesis extends the literature on equity duration by analyzing stock market dynamics,
particularly the short duration premium. Utilizing a robust dataset spanning from 1970 to 2022,
our approach extends Weber’s (2018) ...",2023
124,Is the Grass Greener on the Other Side? Impacts of Cross-Border Alcohol Shopping on Tax Revenue,"In this thesis, we examine how available cross-border shopping affects Vinmonopolet’s sales
volume and the affiliated loss of tax revenue. Leveraging COVID-19 border closures as an
exogenous shock, it employs an ...",2023
127,Beyond the Front Lines: Who Were the True Winners of the Iraq War?,"We study whether the US and UK invaded Iraq to gain access to oil resources. Our
findings provide evidence that events decreasing conflict intensity lead to significantly
positive abnormal returns for the US and UK oil ...",2023
133,How has the Russia-Ukraine conflict “Pushed” or “Pulled” Renewable Energy Deployment in the EU? A qualitative study focusing on mapping the EUs renewable energy landscape in the light of the consequences from the Russia-Ukraine conflict.,"In this thesis, we have conducted a qualitative study to investigate how consequences from - and the subsequent responses to - the Russia-Ukraine conflict have impacted key areas and factors that influence the renewable ...",2023
136,Adopt or Abort? Mapping students’ and professors’ attitudes towards the use of generative AI in higher education,This exploratory and descriptive study investigates the attitudes of students and professors at Norwegian School of Economics (NHH) towards the implementation of Generative Artificial Intelligence (GenAI) in higher education. ...,2023
140,The Motivations of Users to Participate in Sustainable Projects on Mobile Applications : The Case of Antforest,"Despite the increasing ecological awareness of contemporary global society, the complexity of motivations and practices for green consumption still poses significant obstacles to the spread of more environmentally conscious ...",2023
144,Assessing the Impact of Sustainability Reporting on Organizational Processes and Outcomes : An Exploratory Case Study,"The number of companies that have started disclosing their performance with respect to environmental, social and governance (ESG) themes has been growing rapidly in the last two decades. Sustainability reporting, considered ...",2023
146,Navigating Green Choices : The Role of Cognitive Inferences and Immediate Emotions in Sustainable Product Selection,"In response to the escalating trend of conscious consumption, there exists a significant market opportunity for sustainable products. To capitalize on this potential, it is essential to advance the field of the psychological ...",2023
147,The Mediating Effect of Innovation on the Relationship Between Gender Diversity and Financial Performance : Empirical evidence from listed Nordic companies in 2000-2022,"This paper explores the intricate relationship between boardroom gender diversity and firm
performance. Aiming to establish a causal pattern of how female board members could affect
firm performance, we propose innovation ...",2023
150,Behavioral Impact of Short-Term Stock Price Trends on Equity Research : A Textual Analysis of Trend-Chasing Bias in Norwegian Equity Research Reports Covering the Oslo Stock Exchange,"This thesis employs XGBoost and linear regression to reveal whether short-term stock
price trends can explain the variance in textual sentiment in Norwegian equity research
reports covering the Oslo Stock Exchange, ...",2023
154,The Lottery of Birth : An Experimental Study on Intergenerational Inequality and Perceptions of Fairness,"Rising income inequality after the Covid-19 pandemic has been a frequently discussed
topic among both academics and the general public. In this thesis we aim to expand our
understanding into how income inequalities are ...",2023
157,The Price of Information: Evaluating Customer Responses to Information-as-a-service (InaaS) Pricing Models : An explorative case study with three InaaS software firms,"Companies have to constantly adjust their data acquisition strategy as new information
sources have become increasingly available. This has made it more complex for InaaS
vendors to configure pricing models that align ...",2023
159,Winning by a Mile : A Mathematical Programming Approach to Reducing Distance and Ensuring Fairness in Travel in the FIFA World Cup,"The FIFA World Cup presents a complex logistical challenge, featuring an intricate
tournament schedule that requires teams to frequently move between their base camps and
match venues. In this thesis, we explore the ...",2023
161,"Beyond the Gale: Parametric Insurance Pricing for Offshore Wind: Applications of Hierarchical Bayesian Methods, Markov Chain Monte Carlo and Copula-Based Risk Assessment on Zero Generation Events","This thesis introduces an innovative pricing model for parametric insurance of zerogeneration
events at offshore wind farms, mainly focusing on the Norwegian shelf. The
model employs a Hierarchical Bayesian approach to ...",2023
162,AIS-data & Machine Learning : A Quantitative Approach to Predicting Freight Rates,"The emerging availability of data and the development of real-time tracking systems, also
known as AIS, have engaged a new field of study within the shipping segment. AIS data
has a pivotal role in enhancing safety at ...",2023
164,"The ""Good Enough"" Tsunami : The Disruptive Potential of Low-code and No-code : A multiple case-study on scope, trends, and implications","This paper explores the intersection of disruption theory and technological democratization,
aiming to understand the transformative impact of digital technologies on competitive
landscapes. Focusing on the thriving field ...",2023
165,Why Did Norway Encounter Pronounced Levels of Inflation After the Pandemic? A Study of Inflation Dynamics,"This master thesis conducts a comprehensive analysis of inflation dynamics, trying to gain a
better understanding of why inflation increased to such pronounced levels in the years after
the COVID-19 pandemic. The pandemic ...",2023
166,Synthesizing Minds and Machines : An Empirical Study of the Impact of Human-AI Co-Creation on Creativity and the Moderating Role of Competence,This paper adds to the recent interest in the relationship between creativity and AI by studying if co-creating with AI positively affects creative outputs. Aiming to extend previous findings on human-AI co-creation as a ...,2023
167,Liquidity Coverage Ratio Management : Analyzing Norwegian Market Dynamics and Optimizing Liquidity Portfolios,"This thesis aims to present an in-depth exploration of the Liquidity Coverage Ratio (LCR),
and further analyze the optimum allocation of High-Quality Liquid Assets (HQLA) for
Norwegian banks. Additionally, we compare our ...",2023
171,Sustainable Food and Social Mechanisms : How social mechanisms influence adoption of sustainable food in a Norwegian student context.,The purpose of this dissertation is to discover how social mechanisms influence adoption of sustainable food. The background for this is the identified growing market trends in relation to sustainable products and food. ...,2023
172,Transformative Effects of Tokenization and Wholesale CBDC on Bonds : An exploratory study of the technologies’ interplay and disruptive effects on the bond market's value chain,Distributed ledger technology (DLT) and tokenization are emerging technologies with the potential to transform financial markets through digitization and programmability. Presenting assets as digital tokens on blockchain ...,2023
175,Exploring The Possibilities of Investing in Artificial Intelligence : A comprehensive analysis of NQROBO index performance,"This thesis investigates the potential of beating the market index for an investor by investing
in Artificial Intelligence (AI). We have analysed the performance of Nasdaq CTA Artificial
Intelligence & Robotics (NQROBO) ...",2023
183,ESG Investments in Turbulent Waters : A Fund Flow Analysis During Market Distress : An empirical analysis of European sustainability-rated mutual funds before and after the outbreak of the COVID-19 pandemic & the Russia-Ukraine war,"This thesis explores how investments focused on Environmental, Social, and Governance
(ESG) criteria are affected by two distinct economic shocks: the COVID-19 pandemic and the
Russia-Ukraine war. To examine the main ...",2023
184,Empirical Analysis of AIS Data‘s Ability to Detect Suspected Dark Oil Tankers in Russian Ports and Waters : An analysis in light of the Russian and Ukrainian conflict,"This master´s thesis investigates the ability of AIS data to detect suspected dark tankers in
Russian ports and waters in light of the ongoing Russian and Ukranian conflict. The thesis
aims to serve as a stepping stone ...",2023
188,"Crossing Borders, Shaping Futures : An empirical study of migration’s influence on Mexican educational paths.","This study aims to answer the question: ""Can migration from Mexico to the United States
have a causal effect on educational attainment in Mexico?"". We examine the impact of
residing in Mexican households where at least ...",2023
189,Navigating ESG Reporting in Corporate Groups,"This master's thesis aims to shed light on the main complexities and barriers corporate groups
are confronted with when consolidating Environmental, Social and Governance (ESG)
information, including how these complexities ...",2023
194,Sailing into the Storm? Utilizing machine learning to predict defaults in the Norwegian shipping sector,"In this thesis, we develop multi-year models to predict defaults in the Norwegian shipping
industry. Our primary objective is to create a model suited for Norwegian shipping companies
with high predictive accuracy of ...",2023
198,Underpricing and Long-Term Performance of Private Equity-Backed IPOs in the U.S. : An empirical study of the underpricing and long-term performance of private equity- and venture capital-backed IPOs in the U.S. stock market from 2000-2022,"This thesis aims to investigate the underpricing and long-term performance of private
equity-backed initial public offerings (IPOs) relative to non-sponsored IPOs. We use a
sample of 2.509 IPOs on the New York Stock ...",2023
202,Variability in the Lifetime of Maritime Thruster Components : An Exploratory Analysis of Component Breakdown,"In this thesis we conduct and exploratory analysis of the variability in the lifetime of
maritime thruster components. The main objectives for the thesis have been to determine
what causes the variability in the lifetime ...",2023
204,Improving online clothing returns: for planet and profits,"In this thesis, returns of clothing bought online are researched. The background of this is an increasing amount of clothing being ordered online and returned for various reasons. As many online retailers sell products ...",2023
207,"Capital Structure in The Nordics : An empirical cross-country analysis on determinants of capital structure in listed, non-financial firms from 2007 to 2022","We examine determinants of capital structure by analyzing the financing decisions of
listed, non-financial firms in Denmark, Sweden, Norway, and Finland from 2007 to 2022.
At an aggregate level, firm leverage is fairly ...",2023
208,Investment Patterns in Times of Uncertainty : An empirical analysis of how Norwegian private investors’ fund investment behaviour changes in response to macroeconomic shifts,"In this thesis, we examine the influence of economic shocks and macroeconomic factors on
Norwegian mutual fund investments, such as the policy rate, inflation, and unemployment
rate, focusing on the oil price drop between ...",2023
210,Interest Rates and their Differential Effect on the Pricing of Green and Conventional Bonds : An empirical analysis of the Nordic and US bond market from 2017-2023,"Financial markets play a significant role in the transition towards a net-zero economy. Recent events, specifically the pandemic and Ukraine conflict, have been drivers for increased volatility in financial instruments, ...",2023
224,Exploring the Economics of Sustainable Energy : A Comparative Analysis of LCOE and System Costs for Nuclear and Offshore Wind Projects in Norway,"This study explores the impact of input factor variability and the scope of analysis on profitability
calculations for nuclear and offshore wind power in the Norwegian power market. The research
employs several data ...",2023
225,Putting Sustainability Talk into  Managerial Action  : A Study of Norwegian Firms’ Sustainability Integration into Management Control Systems and its Relation to Financial Performance,"The pursuit of sustainable development has become one of the most important challenges and
consequently a central concern for companies. Often, that concern is addressed via an outsideoriented
approach, focusing on ...",2023
236,Exclusive content on audio and media streaming services : an empirical study in the Italian market.,"The following treatise aims to make an illustration of exclusive content and how it could be
included in the offerings of music streaming platforms (DSPs). After providing a general
overview of the music industry, secondary ...",2023
239,Private Placements: Is it really a Norwegian Phenomenon? An empirical study of private placements on Euronext Oslo and Nasdaq Stockholm’s main list during the period 2017 to 2022,"This thesis is split into two main sections. The first part investigates seasoned equity offerings
(SEOs) on Euronext Oslo and Nasdaq Stockholm’s main list during the period 2017 to 2022,
as well as characteristics of ...",2023
241,Optimization Models for Collaborative Vessel Allocation : A Computational Study of How Collaboration Between Shipping Companies Can Reduce Fuel Costs and CO2 Emissions,"Transportation by sea entails costs for shipping companies as well as emissions that
contributes to the challenges regarding global warming. A variety of approaches can be
implemented in order to facilitate reductions ...",2023
242,Do Shipping Freight Rates Predict Stock Market Returns? An Empirical Study of the Relationship between Shipping Freight Rates and Broad Stock Market Returns,"Given the availability and real-time inference of shipping freight rates, they are often
regarded as a gauge for the economy. Stock market commentators and participants
often stress the importance of falling freight rates ...",2023
246,Consumer Adoption of AI-Powered Chatbots: Developing a Customized Adoption Model,"Recent advancements in Artificial Intelligence have transformed the business landscape, with
AI-powered chatbots playing a crucial role in enhancing customer service and automating
tasks. As current literature seems to ...",2023
248,Determinants of Capital Structure: A Cross-Country Analysis : An empirical analysis on determinants of capital structure in listed firms across the G7 countries,"This study aims to investigate how firms operating in different institutional, regulatory, economic and cultural settings determine their capital structure in the period 2012 to 2019. As previous research commonly limits ...",2023
252,Diversified vs Specialized Private Equity Funds : A Study of Risk-Adjusted Performance using Insights from Simulations and Empirical Data,"Private equity funds face constraints on the number and type of investments they can
hold due to the time and resources required for counseling activities. This may lead to
specialization in a specific industry or region ...",2023
253,"Man vs. Machine: An applied study comparing a man-made lexicon, a machine learned lexicon, and OpenAI's GPT for sentiment analysis.","Sentiment analysis, at scale, has become an essential tool in the methodological toolbox of
finance. In this thesis, we construct a sentiment lexicon using a supervised machine learning
model by Taddy (2013) and compare ...",2023
258,The Impact of Integrating Sustainability and Country of Origin in Export Branding on the Willingness to Pay for Norwegian Salmon,Ikke funnet,2023
261,Leveraged Buyouts in the Era of Quantitative Easing : An Empirical Analysis of European Private Equity Buyouts B Unconventional Monetary Policies,"Using proprietary European data on private equity (PE) buyouts, this thesis contributes
to the growing research on the relationship between financial markets, investment decisions
and quantitative easing. Detailed country ...",2023
262,All Quiet on the Market Front : A stock market analysis of the Ukraine-Russia War 2022,"This thesis examines the stock market reaction to changes in the public's perception of
the likelihood of a conflict in an approach to find evidence for the ""war puzzle"" theorem
by Brune et al. (2015). We use time series ...",2023
266,How to establish a well-functioning guidance system in a complex building structure : Modeling with multi-objective optimization,"Wayfinding is a fundamental aspect of our daily lives, encompassing the activities involved
in navigating from one place to another. In the context of architectural spaces, effective
wayfinding is essential for ensuring ...",2023
267,Breaking Waves : New Energy’s Open Innovation Strategy for Shaping the Maritime Industry : An Exploratory Case Study,"This thesis explores how an established firm can leverage an organizational setup for open
innovation, in order to become more sustainable. The phenomenon is investigated through an
exploratory case study, examining New ...",2023
275,"Artificial Intelligence and Firm Performance in Norway : ""Which Norwegian firms are adopting Artificial Intelligence, and how does the adoption of AI affect firm performance?""","This thesis investigates firms’ adoption of artificial intelligence technology and its effects on
firm performance. Due to the rapid technological advances of artificial intelligence, this field
of research is still ...",2023
277,Combating Withholding Tax  Reclaim Schemes in Europe  : An event study examining the effect of policies aimed at combating fraudulent withholding tax reclaim schemes,"In the last decade, numerous tax scandals have been exposed to the public. Among the
largest of these is the so-called CumEx scandal, which revealed how billions of euros have
been fraudulently acquired from European ...",2023
279,Portfolio optimization of chartering contracts : An empirical study of the chartering policies for Western Bulk Chartering ASA in the period from 2016 to 2022,"This thesis looks at how the shipping operator Western Bulk can structure their chartering
decisions through a portfolio approach. This entails looking at chartering contracts as single
investments, which are part of a ...",2023
280,"The War in Ukraine: A Turning Point for Sustainable Investing? An empirical study of investor preferences, performance and downside risk in the European mutual fund market","This thesis examines the impact of the war in Ukraine on sustainability-related investor
preferences, performance, and exposure to downside risk in the European mutual fund
market. We analyse a sample of 1,952 actively ...",2023
282,Financing of Start-ups  : An Empirical Study of Debt Financing in Norwegian Start-ups,"The main goal of this thesis is to identify factors which determine the debt levels of Norwegian
start-ups and how debt financing develops as firms mature. This is achieved by analysing a
dataset consisting of 100.381 ...",2023
285,Cost Drivers in the European Airline Industry : An empirical analysis on factors influencing cost per flight,"The airline industry is fiercely competitive, with companies striving to earn good profits.
One crucial factor in achieving this is reducing costs, which can be achieved through
structured performance management that ...",2023
286,Competitive Advantages in the Video Streaming Industry : Does the release of original content have an impact on platform competition and subscriber base?,"The television industry and the way we consume video entertainment has changed massively
over the past decades. Innovations and the technological development have facilitated the
establishment of new business models ...",2023
288,Fostering Sustainable Innovation: Exploring the role of Leadership Dynamics in Business Model Experimentation : A Qualitative Case Study about Norwegian startups in the Energy Sector,"Leadership plays a critical role in achieving sustainable innovation within the energy sector.
Research to date has focused on individual leadership functions and traits displaying that the
unique set of skills of ...",2023
289,Managing Cross-Functional Collaboration : An exploratory case study examining cross-functional collaboration between sustainability manager and marketing department,"Sustainability has become increasingly important in our society, with new regulations and
trends emerging regularly. In response, several firms have hired sustainability managers to
meet present and future needs regarding ...",2023
290,Sustainable investment flows during crisis periods : Effects of Russian-Ukrainian war on SRI flows,"The thesis focuses on political and military crises, specifically the Russian-Ukrainian war, to
research the war’s effect on monetary Net Flow in European mutual funds. We found that
there are statistically significant ...",2023
298,From Idealism to Pragmatism: Exploring the Cost Realities of Offshore Wind Development in Norway : A Monte Carlo Approach with Emphasis on Cost Uncertainties,"This thesis addresses the inherent uncertainties associated with the cost of offshore wind
deployment in Norway. The primary objective of this study is to provide a realistic estimation
of the comprehensive cost involved ...",2023
300,European Sustainability Reporting Standards : En kvalitativ analyse av kommentarbrev publisert av selskaper i revisjonsbransjen mot ISAE 3000-rammeverket og EFRAGs utkast til standard for bærekraftsrapportering,"Today, there is a great focus and many expectations on how sustainability reporting for the
business sector in Europe will be and how it will be prepared.
The background of the study is EFRAG’s launch of a public publication ...",2023
302,Port waiting time for oil tankers : Leveraging AIS data to predict port waiting time using machine learning,"This master's thesis investigates the predictability of waiting times at crude oil ports
using Automatic Identification System (AIS) data and machine learning. Focusing on
the wet bulk market, specifically four congested ...",2023
305,Cum-Fake Trading Using ADRs from European Countries  : An event study of all European ADRs,"In this thesis, we investigate the use of European ADRs in cum-fake schemes. We look at the
daily trading volume for all ADRs for European companies in the longest possible time span
for each company, with the longest ...",2023
307,The role of brand sustainability and self-brand image congruity in developing brand trust and brand loyalty : A study on luxury brands for Generation consumers,"Generation Z consumers are forecasted to become the most influential generation in the next
years for the purchase of luxury goods. Understanding their needs and behaviors is becoming
more and more crucial for luxury ...",2023
310,Effects of Uncoupling the North Sea Link : An empirical analysis of risks and premiums in the two day-ahead auctions in bidding area N0 2,"In this thesis, we study the impact of the current auction solution on the North Sea
Link (NSL), an interconnector between the electricity systems of Great Britain (GB) and
Southern Norway (NO2). Due to Brexit, interconnector ...",2023
312,Performance of stocks after repair issues : An empirical analysis of the stock performance of firms undergoing repair issues on the Oslo Stock Exchange : Evidence from 2012-2022,"In recent years, private placements have emerged as the preferred method of raising equity
on the Oslo Stock Exchange (OSE). Private placements have a discriminatory character,
and dilutes the non-participating shareholders. ...",2023
315,ESG: The Nexus of Sustainability & Cost of Capital? An empirical study of the relationship between ESG scores and WACC for European firms,"This thesis examines the relationship between STOXX Europe 600 firms’ ESG scores and their
weighted average cost of capital (WACC) across the 11 Global Industry Classification Standard
(GICS) sectors. To investigate this ...",2023
318,"ESG i krigens skygge: Hvordan påvirkes ESG-scores? En difference-in-differences studie av europeiske våpen-, olje- og gass- og fornybarselskaper etter invasjonen av Ukraina","Studien har som formål å vurdere hvorvidt bærekraftsprestasjonene til europeiske selskaper innenfor våpen-, olje- og gass- og fornybarsektorene er blitt påvirket av krigen mellom Ukraina og Russland. Utvalget av sektorer ...",2023
319,Bidding for the Future: Efficient Auction Design during Financial Headwinds : A Comparative Study of UK and German Offshore Wind Auctions and Lessons for Norwegian Policymakers,"Offshore wind is increasingly recognized as a viable source of renewable energy and has great
potential for international decarbonization. However, current supply-chain bottlenecks, inflation
and interest rates have ...",2023
322,Profit Shifting of Multinationals in Norway : An empirical analysis with a focus on the profitability of Chinese multinationals,"Using a sample of 1 343 060 firm level observations with detailed corporate and financial
information from Norway in the period 2017 to 2020, we study the profitability differences
between domestic controlled companies ...",2023
323,The Principal-Agent Problem in Finance: Performance Clauses in Shipping Charterparties : The misalignment of incentives for performance between shipowners and charterers regarding ‘Good weather conditions’ in time charter contracts,"This study investigates how definitions of ‘Good weather conditions’ influence speed and
fuel consumption claims in dry bulk shipping time charter contracts. Using observed
weather data, we simulate various definitions ...",2023
328,Slow Fashion Adoption : Exploring Frameworks to Uncover Antecedents of Slow Fashion Adoption.,"Sustainability within the fashion industry is a topic of increasing importance. In the fashion
industry today, consumers mainly adopt fast fashion products. Fast fashion has promoted an
unsustainable consumer behaviour ...",2023
331,Beyond Aesthetics : Asset Pricing Theory and the Scandinavian Art Market,"This study utilizes a hedonic model to examine factors influencing the pricing of
Scandinavian paintings, such as size, artist reputation, and auction house. The analysis
focuses on prominent painters from Denmark, Sweden, ...",2023
332,Accounting for diverse greenhouse gases in the environmental balance sheet : How to account for CO2 and CH4 using different emission metrics,The ongoing challenges of global warming and climate change emphasize the importance of reliable and concrete sustainability reporting. Continuous rise in greenhouse gas emissions should hold a significant place in such ...,2023
333,"Ledergruppens arbeid med omstilling i krisesituasjoner : En casestudie av hvordan ledergruppen i Nille jobber med omstilling, påvirket av uforutsette eksterne kriser","Retailmarkedet i Norge har de senere årene vert preget av flere konkurser, og organisasjoner som ikke har klart å omstille seg. Til tross for dette har ledergruppen til Nille lykkes med sin omstilling, fra å være teknisk ...",2023
337,A New Dawn for Europe’s Sustainable Innovation? Assessing Venture Capital Performance in European Climate Technology,"This thesis investigates venture capital investments in the European climate tech sector,
focusing on the past decade. Through survival analysis, it examines three hypotheses: the
relative success rate of climate tech ...",2023
340,Sustainability in Procurement and the Link to Profitability : An Exploratory Study,"This thesis explores how sustainability focus in the procurement function affects a firm's profitability. Sustainability has become increasingly relevant for firms to address, as the adverse impacts of a business on society ...",2023
341,Nøytralitet i havbruksbeskatningen : En analyse av grunnrenteskattens virkning på investeringer og næringsstruktur i havbruksnæringen,"Havbruksnæringen har over flere år hatt svært god lønnsomhet. Dette skyldes blant
annet utnyttelse av gunstige naturgitte forhold, som har gitt opphav til grunnrente i
næringen. Den 31.mai 2023 vedtok Stortinget en ...",2023
342,The Impact of Celebrity Endorsement Announcements : An Empirical Study of the Stock Market Reaction to Celebrity Endorsement Deal Announcements in the USA and Europe,"Do celebrity endorsements impact the stock price? In this thesis, we aim to answer this by
analyzing a unique sample of 155 announcements from 2009 to 2023 by firms listed in Europe
and the USA, using announcements from ...",2023
356,AI and Firm Values: How the Release of ChatGPT Affected Expectations Toward AI-exposed Firms : A Difference-in-Differences Approach,"The release of ChatGPT constituted a major technology shock to AI, offering new
information about AI advancement and its future potential. This paper studies the
impact of the release on analyst stock recommendations and ...",2023
