,Tittel,Abstrakt,Årstall
719,Prediction of Stock Market Volatility Utilizing Sentiment from News and Social Media Texts : A study on the practical implementation of sentiment analysis and deep learning models for predicting day-ahead volatility,"This thesis studies the impact of sentiment on the prediction of volatility for 100 of the largest
stocks in the S&P500 index. The purpose is to find out if sentiment can improve the forecast
of day-ahead volatility ...",2022
984,Fastlege vs Dr. Robot : en eksperimentell studie om bruk av robot til medisinsk konsultasjon,"Å benytte kunstig intelligens (“Artificial Intelligence”, AI) i helsevesenet kan bidra til bedre tjenester og økt effektivisering. Det anses som nødvendig for å sikre en bærekraftig helsesektor i fremtiden. Imidlertid ...",2021
990,"Enabling technology intelligence : An analytical, hybrid similarity framework to generate practical insights from patent data","Technology intelligence plays a crucial role for corporate strategy, especially during times of accelerating technological progress. Accompanying advancements in computing capacities and natural language processing tools ...",2021
1090,Gender-related differences in investment decisions : through the lens of equity crowdfunding : an empirical study in collaboration with dealflow,"The remainder to progress towards full gender equality requires increased female presence
in financial markets, in particular in investing. The need to better understand female
investment decisions, in an environment ...",2020
1179,"Something old, something new : a hybrid approach with ARIMA and LSTM to increase portfolio stability","In this thesis we seek to examine how modern forecasting approaches can improve estimations
of stock pair correlations, and derived from this, contribute to making portfolios more stable.
Volatility of financial markets ...",2020
1278,Unsupervised machine learning for conference scheduling : a natural language processing approach based on latent dirichlet allocation,"Academic conference scheduling is the act of organizing large-scale conferences
based upon the submission of academic papers in which the author will provide
a talk. Traditionally each speaker is placed into a session ...",2020
1351,Preconditions to start and scale digital ecosystems : a study of aquacloud in the Norwegian seafood industry,"Digital transformation characterizes a vast number of companies, and increasingly as the
technological advancements with artificial intelligence (AI), internet of things, and 5G
mobile network technology expands the ...",2020
1458,Understanding responsible artificial intelligence : a case study on the considerations to made and how they can be addressed,"The aim of this thesis is to contribute with new insights on the concept of responsible artificial
intelligence (RAI), by answering the following main research question:
How can we understand responsible artificial ...",2019
1582,Machine learning for resource economics : a review of modern computational statistics with empirical applications in fisheries management,"Machine learning increasingly permeates our everyday lives, from artificial intelligence
suggesting how we complete a text message to big data selecting creepily relevant ads to show
us as we browse the web. While science ...",2019
1587,"Artificial intelligence in financial services : an analysis of the AI technology and the potential applications, implications, and risks it may propagate in financial services","It is hard to deny the fact that artificial intelligence and robotization have been the centre of
research for the last decades. Moreover, during the past few years it has really boomed and is
now widely utilized in many ...",2019
1618,Intelligent automation in FinTech : an exploratory study of how Norwegian providers of financial technology utilize intelligent automation in light of PSD2,"By performing a literature review and conducting semi-structured interviews with six
business leaders on robotic process automation and artificial intelligence in the Norwegian
financial services industry, this thesis ...",2019
1677,"Nowcasting Norwegian GDP : the hard, the soft and the uncertainty data","This Master thesis investigates nowcasting, or predicting real time GDP, power of the
following series: i) hard data gauging real economy; ii) soft indicators reflecting business and
financial markets’ sentiment and iii) ...",2018
1683,Measuring skill in the Nordic hedge fund industry : an empirical study of the value Nordic hedge fund managers extract from financial markets,"In this thesis, we use a unique dataset on Nordic hedge funds from January 2004 to August 2018 to investigate managerial skill in the Nordic hedge fund industry. Managerial skill is measured by the value hedge fund managers ...",2018
1759,Forecasting Norwegian inﬂation with deep neural networks : the application and comparison of diﬀerent feedforward architectures,This thesis investigates the feasibility of applying deep neural networks to macroeconomic forecastingintheNorwegianeconomy. Thethesisisintendedformacroforecasterscuriousaboutthe possibility of utilizing these approaches ...,2018
1851,Blockchain in financial markets and intermediation : a qualitative exploratory study of the impact of blockchain technology on the financial market infrastructure and financial services,"A blockchain is an open, decentralized ledger that provides a cryptographically secure way of
transacting without the need of trusted third parties. The technology has garnered a variety
of claims and perceptions regarding ...",2018
1890,Financial impact of a political crisis : the case of Catalonia (Spain),"The aim of this master thesis is to investigate how the increased uncertainty in the conflict in Catalonia from 2010 to 2018 has impacted the financial markets in Spain. In doing so, the event study methodology is applied ...",2018
1895,Artificial Intelligence and Nord Pool’s intraday electricity market Elbas : a demonstration and pragmatic evaluation of employing deep learning for price prediction : using extensive market data and spatio-temporal weather forecasts,"This thesis demonstrates the use of deep learning for automating hourly price forecasts in continuous
intraday electricity markets, using various types of neural networks on comprehensive
sequential market data and ...",2018
1961,Employing deep learning for stock return prediction on the Oslo Stock Exchange : a comprehensive test of deep learning models for predictive purposes and applicability to trading,"We predict daily out-of sample directional movements of the constituent stocks of the Oslo
Stock Exchange Benchmark Index (OSEBX) using Long Short-Term Memory (LSTM) net
works, benchmarked against other machine learning ...",2018
2194,Will robots replace us? : an Empirical analysis of the impacts of robotization on employment in the Norwegian manufacturing industry,"Rapid advances in robotics, artificial intelligence, and digital technologies have
introduced renewed concern that labor will become redundant. The aim of this thesis
is to assess whether there exists a relationship ...",2017
2500,Investing in sustainability : the risk-adjusted performance of European mutual funds committed to sustainable and responsible investing,"This paper examines the relationship between sustainability and traditional financial aspects.
Sustainable development has manifested itself to financial markets and the newly launched
Morningstar Sustainability Rating ...",2016
